stn_name,053-JWAN
1982-05-12T00:00:00,No data
1982-05-13T00:00:00,No data
1982-05-14T00:00:00,No data
1982-05-15T00:00:00,No data
1982-05-16T00:00:00,No data
1982-05-17T00:00:00,No data
1982-05-18T00:00:00,No data
1982-05-19T00:00:00,No data
1982-05-20T00:00:00,No data
1982-05-21T00:00:00,No data
1982-05-22T00:00:00,No data
1982-05-23T00:00:00,No data
1982-05-24T00:00:00,No data
1982-05-25T00:00:00,No data
1982-05-26T00:00:00,No data
1982-05-27T00:00:00,No data
1982-05-28T00:00:00,No data
1982-05-29T00:00:00,No data
1982-05-30T00:00:00,No data
1982-05-31T00:00:00,No data
1982-06-01T00:00:00,No data
1982-06-02T00:00:00,No data
1982-06-03T00:00:00,No data
1982-06-04T00:00:00,No data
1982-06-05T00:00:00,No data
1982-06-06T00:00:00,No data
1982-06-07T00:00:00,No data
1982-06-08T00:00:00,No data
1982-06-09T00:00:00,No data
1982-06-10T00:00:00,No data
1982-06-11T00:00:00,No data
1982-06-12T00:00:00,No data
1982-06-13T00:00:00,No data
1982-06-14T00:00:00,No data
1982-06-15T00:00:00,No data
1982-06-16T00:00:00,No data
1982-06-17T00:00:00,No data
1982-06-18T00:00:00,No data
1982-06-19T00:00:00,No data
1982-06-20T00:00:00,No data
1982-06-21T00:00:00,No data
1982-06-22T00:00:00,No data
1982-06-23T00:00:00,No data
1982-06-24T00:00:00,No data
1982-06-25T00:00:00,No data
1982-06-26T00:00:00,No data
1982-06-27T00:00:00,No data
1982-06-28T00:00:00,No data
1982-06-29T00:00:00,No data
1982-06-30T00:00:00,No data
1982-07-01T00:00:00,No data
1982-07-02T00:00:00,2.087454557
1982-07-03T00:00:00,No data
1982-07-04T00:00:00,No data
1982-07-05T00:00:00,No data
1982-07-06T00:00:00,No data
1982-07-07T00:00:00,No data
1982-07-08T00:00:00,No data
1982-07-09T00:00:00,No data
1982-07-10T00:00:00,No data
1982-07-11T00:00:00,No data
1982-07-12T00:00:00,No data
1982-07-13T00:00:00,No data
1982-07-14T00:00:00,No data
1982-07-15T00:00:00,No data
1982-07-16T00:00:00,No data
1982-07-17T00:00:00,No data
1982-07-18T00:00:00,No data
1982-07-19T00:00:00,No data
1982-07-20T00:00:00,No data
1982-07-21T00:00:00,No data
1982-07-22T00:00:00,No data
1982-07-23T00:00:00,No data
1982-07-24T00:00:00,No data
1982-07-25T00:00:00,No data
1982-07-26T00:00:00,No data
1982-07-27T00:00:00,No data
1982-07-28T00:00:00,No data
1982-07-29T00:00:00,No data
1982-07-30T00:00:00,No data
1982-07-31T00:00:00,No data
1982-08-01T00:00:00,No data
1982-08-02T00:00:00,No data
1982-08-03T00:00:00,No data
1982-08-04T00:00:00,No data
1982-08-05T00:00:00,No data
1982-08-06T00:00:00,No data
1982-08-07T00:00:00,No data
1982-08-08T00:00:00,No data
1982-08-09T00:00:00,No data
1982-08-10T00:00:00,No data
1982-08-11T00:00:00,No data
1982-08-12T00:00:00,No data
1982-08-13T00:00:00,No data
1982-08-14T00:00:00,No data
1982-08-15T00:00:00,No data
1982-08-16T00:00:00,No data
1982-08-17T00:00:00,No data
1982-08-18T00:00:00,No data
1982-08-19T00:00:00,No data
1982-08-20T00:00:00,No data
1982-08-21T00:00:00,No data
1982-08-22T00:00:00,No data
1982-08-23T00:00:00,No data
1982-08-24T00:00:00,No data
1982-08-25T00:00:00,No data
1982-08-26T00:00:00,No data
1982-08-27T00:00:00,No data
1982-08-28T00:00:00,No data
1982-08-29T00:00:00,No data
1982-08-30T00:00:00,No data
1982-08-31T00:00:00,No data
1982-09-01T00:00:00,No data
1982-09-02T00:00:00,No data
1982-09-03T00:00:00,No data
1982-09-04T00:00:00,No data
1982-09-05T00:00:00,No data
1982-09-06T00:00:00,No data
1982-09-07T00:00:00,No data
1982-09-08T00:00:00,No data
1982-09-09T00:00:00,No data
1982-09-10T00:00:00,No data
1982-09-11T00:00:00,No data
1982-09-12T00:00:00,No data
1982-09-13T00:00:00,No data
1982-09-14T00:00:00,No data
1982-09-15T00:00:00,No data
1982-09-16T00:00:00,No data
1982-09-17T00:00:00,No data
1982-09-18T00:00:00,No data
1982-09-19T00:00:00,No data
1982-09-20T00:00:00,No data
1982-09-21T00:00:00,No data
1982-09-22T00:00:00,No data
1982-09-23T00:00:00,No data
1982-09-24T00:00:00,No data
1982-09-25T00:00:00,No data
1982-09-26T00:00:00,No data
1982-09-27T00:00:00,No data
1982-09-28T00:00:00,No data
1982-09-29T00:00:00,No data
1982-09-30T00:00:00,2.93696332
1982-10-01T00:00:00,No data
1982-10-02T00:00:00,No data
1982-10-03T00:00:00,No data
1982-10-04T00:00:00,No data
1982-10-05T00:00:00,No data
1982-10-06T00:00:00,No data
1982-10-07T00:00:00,No data
1982-10-08T00:00:00,No data
1982-10-09T00:00:00,No data
1982-10-10T00:00:00,5.302504539
1982-10-11T00:00:00,6.53280592
1982-10-12T00:00:00,18.36871338
1982-10-13T00:00:00,No data
1982-10-14T00:00:00,3.919683218
1982-10-15T00:00:00,No data
1982-10-16T00:00:00,No data
1982-10-17T00:00:00,31.45887566
1982-10-18T00:00:00,No data
1982-10-19T00:00:00,No data
1982-10-20T00:00:00,No data
1982-10-21T00:00:00,No data
1982-10-22T00:00:00,No data
1982-10-23T00:00:00,No data
1982-10-24T00:00:00,No data
1982-10-25T00:00:00,No data
1982-10-26T00:00:00,No data
1982-10-27T00:00:00,No data
1982-10-28T00:00:00,No data
1982-10-29T00:00:00,11.72529602
1982-10-30T00:00:00,No data
1982-10-31T00:00:00,No data
1982-11-01T00:00:00,14.46931267
1982-11-02T00:00:00,No data
1982-11-03T00:00:00,No data
1982-11-04T00:00:00,No data
1982-11-05T00:00:00,No data
1982-11-06T00:00:00,No data
1982-11-07T00:00:00,No data
1982-11-08T00:00:00,No data
1982-11-09T00:00:00,No data
1982-11-10T00:00:00,No data
1982-11-11T00:00:00,No data
1982-11-12T00:00:00,No data
1982-11-13T00:00:00,No data
1982-11-14T00:00:00,4.757912159
1982-11-15T00:00:00,No data
1982-11-16T00:00:00,No data
1982-11-17T00:00:00,No data
1982-11-18T00:00:00,3.197678804
1982-11-19T00:00:00,No data
1982-11-20T00:00:00,No data
1982-11-21T00:00:00,No data
1982-11-22T00:00:00,7.653628349
1982-11-23T00:00:00,6.696925163
1982-11-24T00:00:00,No data
1982-11-25T00:00:00,No data
1982-11-26T00:00:00,No data
1982-11-27T00:00:00,No data
1982-11-28T00:00:00,6.145978928
1982-11-29T00:00:00,12.29195786
1982-11-30T00:00:00,18.43793678
1982-12-01T00:00:00,No data
1982-12-02T00:00:00,10.29509735
1982-12-03T00:00:00,No data
1982-12-04T00:00:00,No data
1982-12-05T00:00:00,3.431699276
1982-12-06T00:00:00,12.92370415
1982-12-07T00:00:00,4.307901382
1982-12-08T00:00:00,No data
1982-12-09T00:00:00,No data
1982-12-10T00:00:00,No data
1982-12-11T00:00:00,No data
1982-12-12T00:00:00,No data
1982-12-13T00:00:00,No data
1982-12-14T00:00:00,No data
1982-12-15T00:00:00,3.889318705
1982-12-16T00:00:00,0.965441108
1982-12-17T00:00:00,0.938623309
1982-12-18T00:00:00,No data
1982-12-19T00:00:00,1.206801414
1982-12-20T00:00:00,No data
1982-12-21T00:00:00,9.717321396
1982-12-22T00:00:00,No data
1982-12-23T00:00:00,No data
1982-12-24T00:00:00,No data
1982-12-25T00:00:00,No data
1982-12-26T00:00:00,No data
1982-12-27T00:00:00,No data
1982-12-28T00:00:00,No data
1982-12-29T00:00:00,2.058504105
1982-12-30T00:00:00,3.394726276
1982-12-31T00:00:00,3.08775568
1983-01-01T00:00:00,16.71977615
1983-01-02T00:00:00,No data
1983-01-03T00:00:00,No data
1983-01-04T00:00:00,No data
1983-01-05T00:00:00,No data
1983-01-06T00:00:00,No data
1983-01-07T00:00:00,No data
1983-01-08T00:00:00,No data
1983-01-09T00:00:00,4.651004314
1983-01-10T00:00:00,No data
1983-01-11T00:00:00,No data
1983-01-12T00:00:00,No data
1983-01-13T00:00:00,5.7540555
1983-01-14T00:00:00,11.508111
1983-01-15T00:00:00,5.7540555
1983-01-16T00:00:00,7.067756176
1983-01-17T00:00:00,14.13551235
1983-01-18T00:00:00,No data
1983-01-19T00:00:00,No data
1983-01-20T00:00:00,14.13551235
1983-01-21T00:00:00,No data
1983-01-22T00:00:00,No data
1983-01-23T00:00:00,No data
1983-01-24T00:00:00,No data
1983-01-25T00:00:00,No data
1983-01-26T00:00:00,No data
1983-01-27T00:00:00,No data
1983-01-28T00:00:00,No data
1983-01-29T00:00:00,No data
1983-01-30T00:00:00,7.087697506
1983-01-31T00:00:00,No data
1983-02-01T00:00:00,No data
1983-02-02T00:00:00,No data
1983-02-03T00:00:00,No data
1983-02-04T00:00:00,8.980144501
1983-02-05T00:00:00,No data
1983-02-06T00:00:00,No data
1983-02-07T00:00:00,18.56079674
1983-02-08T00:00:00,No data
1983-02-09T00:00:00,No data
1983-02-10T00:00:00,No data
1983-02-11T00:00:00,No data
1983-02-12T00:00:00,No data
1983-02-13T00:00:00,No data
1983-02-14T00:00:00,No data
1983-02-15T00:00:00,No data
1983-02-16T00:00:00,No data
1983-02-17T00:00:00,No data
1983-02-18T00:00:00,No data
1983-02-19T00:00:00,No data
1983-02-20T00:00:00,No data
1983-02-21T00:00:00,No data
1983-02-22T00:00:00,No data
1983-02-23T00:00:00,No data
1983-02-24T00:00:00,No data
1983-02-25T00:00:00,No data
1983-02-26T00:00:00,No data
1983-02-27T00:00:00,No data
1983-02-28T00:00:00,22.23441505
1983-03-01T00:00:00,No data
1983-03-02T00:00:00,No data
1983-03-03T00:00:00,No data
1983-03-04T00:00:00,No data
1983-03-05T00:00:00,No data
1983-03-06T00:00:00,No data
1983-03-07T00:00:00,5.141419411
1983-03-08T00:00:00,No data
1983-03-09T00:00:00,No data
1983-03-10T00:00:00,No data
1983-03-11T00:00:00,No data
1983-03-12T00:00:00,No data
1983-03-13T00:00:00,No data
1983-03-14T00:00:00,No data
1983-03-15T00:00:00,No data
1983-03-16T00:00:00,No data
1983-03-17T00:00:00,No data
1983-03-18T00:00:00,No data
1983-03-19T00:00:00,5.34706068
1983-03-20T00:00:00,No data
1983-03-21T00:00:00,No data
1983-03-22T00:00:00,5.350981712
1983-03-23T00:00:00,No data
1983-03-24T00:00:00,No data
1983-03-25T00:00:00,No data
1983-03-26T00:00:00,No data
1983-03-27T00:00:00,No data
1983-03-28T00:00:00,No data
1983-03-29T00:00:00,No data
1983-03-30T00:00:00,No data
1983-03-31T00:00:00,No data
1983-04-01T00:00:00,No data
1983-04-02T00:00:00,No data
1983-04-03T00:00:00,No data
1983-04-04T00:00:00,No data
1983-04-05T00:00:00,No data
1983-04-06T00:00:00,No data
1983-04-07T00:00:00,No data
1983-04-08T00:00:00,No data
1983-04-09T00:00:00,No data
1983-04-10T00:00:00,No data
1983-04-11T00:00:00,No data
1983-04-12T00:00:00,13.32597351
1983-04-13T00:00:00,No data
1983-04-14T00:00:00,No data
1983-04-15T00:00:00,No data
1983-04-16T00:00:00,No data
1983-04-17T00:00:00,4.46060133
1983-04-18T00:00:00,No data
1983-04-19T00:00:00,No data
1983-04-20T00:00:00,No data
1983-04-21T00:00:00,No data
1983-04-22T00:00:00,No data
1983-04-23T00:00:00,No data
1983-04-24T00:00:00,No data
1983-04-25T00:00:00,No data
1983-04-26T00:00:00,No data
1983-04-27T00:00:00,No data
1983-04-28T00:00:00,No data
1983-04-29T00:00:00,No data
1983-04-30T00:00:00,No data
1983-05-01T00:00:00,No data
1983-05-02T00:00:00,No data
1983-05-03T00:00:00,No data
